key_id,press_time,release_time
a,1789058362.8826158,1789058362.9637623
Key.space,1789058363.05526,1789058363.1327188
q,1789058363.1347303,1789058363.2296169
u,1789058363.2569683,1789058363.3057063
o,1789058363.4876182,1789058363.5609355
t,1789058363.56194,1789058363.6211898
t,1789058363.7094755,1789058363.7714047
e,1789058363.793343,1789058363.9487486
r,1789058363.9197545,1789058363.9645555
Key.backspace,1789058364.125958,1789058364.1918185
Key.backspace,1789058364.2718349,1789058364.3366098
Key.backspace,1789058364.40223,1789058364.4496539
Key.backspace,1789058364.5285563,1789058364.5805118
Key.backspace,1789058364.6325545,1789058364.7111154
i,1789058364.9454536,1789058365.033273
t,1789058365.0689085,1789058365.1395717
t,1789058365.2108674,1789058365.3072908
e,1789058365.340698,1789058365.4713523
r,1789058365.4436362,1789058365.5029619
.,1789058365.6682982,1789058365.7598243
Key.space,1789058366.5075746,1789058366.545498
Key.shift,1789058366.2497046,1789058366.5930505
Key.backspace,1789058367.0694485,1789058367.1487935
n,1789058367.2873971,1789058367.3881996
o,1789058367.4341307,1789058367.5227134
Key.space,1789058367.6280408,1789058367.6797945
m,1789058367.7982378,1789058367.872531
a,1789058367.872531,1789058367.9900742
t,1789058367.9614563,1789058368.0142057
t,1789058368.098536,1789058368.133483
e,1789058368.3028672,1789058368.3373358
r,1789058368.5937722,1789058368.6590946
Key.space,1789058369.175997,1789058369.2444408
h,1789058369.5819938,1789058369.6616015
o,1789058369.7103336,1789058369.8091254
w,1789058369.8081234,1789058369.915106
Key.space,1789058369.9411142,1789058369.997514
b,1789058370.1334271,1789058370.1994827
a,1789058370.1950989,1789058370.3314636
d,1789058370.303714,1789058370.3716557
Key.space,1789058370.463226,1789058370.5325818
y,1789058370.5645936,1789058370.6537974
o,1789058370.7184324,1789058370.8020375
u,1789058370.8497784,1789058370.9164877
Key.space,1789058371.0759604,1789058371.1240525
w,1789058371.2926652,1789058371.4188852
a,1789058371.3947759,1789058371.4926963
