key_id,press_time,release_time
o,1788966792.2459693,1788966792.318974
p,1788966792.397709,1788966792.4798923
Key.space,1788966792.4258199,1788966792.5923307
t,1788966792.540851,1788966792.6670887
o,1788966792.6392195,1788966792.6957073
o,1788966792.7676706,1788966792.8630948
Key.space,1788966802.3434029,1788966802.417648
Key.shift,1788966802.6171634,1788966802.9854584
Key.space,1788966803.0219576,1788966803.1342137
f,1788966803.9178314,1788966804.0329862
u,1788966804.0083854,1788966804.0664191
n,1788966804.170111,1788966804.2448123
c,1788966804.2158315,1788966804.3124108
t,1788966804.4255583,1788966804.5238714
i,1788966804.4847224,1788966804.5580459
o,1788966804.6432884,1788966804.7305374
n,1788966804.845097,1788966804.8979325
Key.space,1788966804.895505,1788966805.0239503
t,1788966804.9937751,1788966805.1277168
o,1788966805.0897937,1788966805.1640868
Key.space,1788966805.178354,1788966805.3221934
g,1788966805.3591232,1788966805.4387703
e,1788966805.3837836,1788966805.4939086
t,1788966805.5927305,1788966805.7089553
Key.space,1788966805.6600637,1788966805.7818522
k,1788966805.8137116,1788966805.919877
e,1788966805.9082494,1788966806.0124972
y,1788966806.1152594,1788966806.2246976
Key.space,1788966806.229249,1788966806.3455215
i,1788966806.4862816,1788966806.5588176
d,1788966806.646015,1788966806.7657082
s,1788966806.9344938,1788966807.0086632
Key.space,1788966808.0981271,1788966808.1921055
Key.space,1788966810.0360405,1788966810.1411366
Key.shift,1788966810.1870666,1788966810.5048232
Key.backspace,1788966810.9212368,1788966811.0142756
Key.shift,1788966811.2656622,1788966812.0573018
Key.space,1788966812.0555968,1788966812.1776974
i,1788966812.2658885,1788966812.3488004
f,1788966812.4558163,1788966812.5705357
Key.space,1788966812.546598,1788966812.6646686
w,1788966812.6626549,1788966812.8253005
e,1788966812.793797,1788966812.9210358
Key.space,1788966812.8875115,1788966813.0119328
d,1788966813.0188472,1788966813.1465316
i,1788966813.1269698,1788966813.2104266
r,1788966813.2372506,1788966813.350574
e,1788966813.8009536,1788966813.8972535
c,1788966814.0474956,1788966814.1599476
t,1788966814.8797252,1788966814.9938345
l,1788966814.980765,1788966815.0722904
y,1788966815.0604498,1788966815.1777117
Key.space,1788966815.1585515,1788966815.271647
a,1788966815.363266,1788966815.4886034
c,1788966815.537514,1788966815.667663
c,1788966815.7186162,1788966815.8277833
e,1788966815.931102,1788966816.0846062
s,1788966816.0446901,1788966816.141882
s,1788966816.2141495,1788966816.3044667
Key.space,1788966816.27832,1788966816.3969934
s,1788966820.2990465,1788966820.4016073
p,1788966820.4652815,1788966820.5857265
e,1788966820.8630404,1788966820.9749222
c,1788966821.0758336,1788966821.194437
i,1788966821.1604142,1788966821.2322078
a,1788966821.270817,1788966821.3712265
l,1788966821.3640149,1788966821.4437873
Key.space,1788966821.46866,1788966821.578667
k,1788966821.584409,1788966821.6463187
e,1788966821.6326473,1788966821.7299023
y,1788966821.820914,1788966821.9238994
s,1788966822.0200644,1788966822.1226058
Key.space,1788966822.0999072,1788966822.2541742
f,1788966822.218943,1788966822.3171856
r,1788966822.4120512,1788966822.5740497
o,1788966822.5585737,1788966822.6238928
m,1788966822.9261084,1788966823.0272148
Key.space,1788966823.0648909,1788966823.199659
h,1788966823.2456548,1788966823.317552
e,1788966823.289605,1788966823.3912892
r,1788966823.491719,1788966823.556271
e,1788966823.6272202,1788966823.6535058
Key.space,1788966823.9725072,1788966824.1041336
i,1788966824.1697106,1788966824.2373917
t,1788966824.2220685,1788966824.3151624
Key.space,1788966824.3756497,1788966824.507391
w,1788966824.4948964,1788966824.6256573
i,1788966824.5862474,1788966824.6486697
l,1788966824.754048,1788966824.800064
l,1788966824.8819435,1788966824.9401376
Key.space,1788966824.9270122,1788966825.035528
s,1788966825.1478336,1788966825.2423189
Key.backspace,1788966825.7205458,1788966825.7887673
t,1788966825.7860906,1788966825.8740249
h,1788966825.9722502,1788966826.0588152
r,1788966826.0443037,1788966826.185334
o,1788966826.2587798,1788966826.3388171
w,1788966826.3356223,1788966826.4445493
Key.space,1788966826.4565318,1788966826.5769584
a,1788966826.5717392,1788966826.6977775
t,1788966826.7688608,1788966826.9044516
t,1788966827.0421884,1788966827.1665967
r,1788966827.5173545,1788966827.607201
i,1788966828.0511408,1788966828.135927
b,1788966828.1599584,1788966828.2422705
u,1788966828.345803,1788966828.4089048
t,1788966828.4033623,1788966828.5328724
e,1788966828.6279495,1788966828.7452297
Key.space,1788966828.7467456,1788966828.8542697
e,1788966828.843577,1788966828.9474578
r,1788966829.0338674,1788966829.1272862
r,1788966829.1998386,1788966829.2972753
o,1788966829.3100502,1788966829.390112
r,1788966829.3936956,1788966829.5267928
Key.space,1788966830.8769004,1788966830.957157
Key.space,1788966831.3966672,1788966831.495213
Key.shift,1788966831.5808923,1788966832.0518765
Key.space,1788966832.0577118,1788966832.1752765
w,1788966832.1976838,1788966832.3022404
o,1788966832.3057678,1788966832.3878574
Key.backspace,1788966832.5625458,1788966832.6565623
Key.backspace,1788966833.134652,1788966833.1999576
s,1788966833.2239993,1788966833.3089294
o,1788966833.3520133,1788966833.4221685
Key.space,1788966833.3339856,1788966833.4617524
w,1788966833.5333645,1788966833.6644504
Key.backspace,1788966833.823815,1788966833.886317
Key.backspace,1788966833.961791,1788966834.0411878
Key.backspace,1788966834.126559,1788966834.2198327
o,1788966834.275781,1788966834.3789883
Key.space,1788966834.40743,1788966834.5534196
w,1788966834.5603926,1788966834.6756492
h,1788966834.6786401,1788966834.7569833
e,1788966834.827488,1788966834.96133
n,1788966835.1635315,1788966835.2648635
e,1788966835.5046446,1788966835.6442485
v,1788966835.647357,1788966835.7336645
e,1788966835.7258997,1788966835.8345718
r,1788966835.8948328,1788966836.0205936
Key.space,1788966835.9937418,1788966836.1016243
s,1788966836.2506118,1788966836.3460405
Key.backspace,1788966836.5725384,1788966836.6827233
a,1788966836.6620698,1788966836.775436
t,1788966836.8323255,1788966836.9316816
t,1788966836.9963968,1788966837.1079366
r,1788966837.1896589,1788966837.3278382
i,1788966837.2916958,1788966837.3728042
b,1788966838.1319776,1788966838.206304
u,1788966838.3026683,1788966838.3603933
t,1788966838.3923118,1788966838.4955251
e,1788966838.585111,1788966838.7074566
Key.space,1788966838.666764,1788966838.8293684
e,1788966838.8010998,1788966838.9005356
r,1788966838.9967487,1788966839.0752923
r,1788966839.1624408,1788966839.2808182
o,1788966839.3768108,1788966839.4658906
r,1788966839.4648907,1788966839.6164742
Key.space,1788966839.6090317,1788966839.7576818
i,1788966839.751179,1788966839.8318646
s,1788966839.8259325,1788966839.9141028
Key.space,1788966839.9321609,1788966840.1287985
t,1788966840.045517,1788966840.1711235
h,1788966840.2028015,1788966840.2879643
e,1788966840.2743201,1788966840.3740263
r,1788966840.451147,1788966840.563717
e,1788966840.7466779,1788966840.8789487
",",1788966841.8020315,1788966841.8456223
",",1788966841.9377394,1788966841.9934902
Key.space,1788966842.0192688,1788966842.1459863
Key.backspace,1788966842.3222864,1788966842.3920975
Key.backspace,1788966842.4617333,1788966842.545791
Key.space,1788966842.5514014,1788966842.652349
c,1788966844.3655663,1788966844.4623754
o,1788966844.4722588,1788966844.568141
n,1788966844.6921473,1788966844.752372
v,1788966844.773212,1788966844.8545103
e,1788966844.970768,1788966845.0524166
r,1788966845.1350703,1788966845.2360253
t,1788966845.203704,1788966845.2855604
Key.space,1788966845.3287673,1788966845.4745321
t,1788966845.4667716,1788966845.5880108
h,1788966845.5973232,1788966845.6827414
a,1788966845.6937165,1788966845.8056533
t,1788966845.8031669,1788966845.9299493
Key.space,1788966845.9070218,1788966846.0194793
j,1788966846.0630963,1788966846.150802
e,1788966846.146705,1788966846.247242
Key.backspace,1788966846.3971167,1788966846.4943647
Key.backspace,1788966846.5867126,1788966846.664475
k,1788966846.848975,1788966846.927575
e,1788966846.9145913,1788966847.0075765
y,1788966847.1055331,1788966847.2206683
Key.space,1788966847.1723108,1788966847.2895324
i,1788966847.2601907,1788966847.3308628
n,1788966847.4531627,1788966847.5402966
t,1788966847.6719284,1788966847.7775211
o,1788966847.7887366,1788966847.8721578
Key.space,1788966847.8640988,1788966847.971786
a,1788966847.9610155,1788966848.121191
Key.space,1788966848.1010945,1788966848.2211401
s,1788966848.2077446,1788966848.3141084
y,1788966848.3988779,1788966848.4105005
t,1788966848.3840377,1788966848.4750762
r,1788966848.5261457,1788966848.6612382
i,1788966848.6020985,1788966848.6801991
Key.backspace,1788966848.8946722,1788966848.9547126
Key.backspace,1788966849.033921,1788966849.1011376
Key.backspace,1788966849.1837482,1788966849.2665992
r,1788966849.2902436,1788966849.3947272
i,1788966849.3847156,1788966849.4435444
