avg_dwell,std_dwell,avg_flight,std_flight,typing_speed,backspace_rate
0.09430186748504639,0.04327117051779912,0.18745050063500038,0.3192216213335811,0.858911093446575,0.22
0.09436633586883544,0.03058981794512713,0.17090700834225386,0.3090357886717223,4.672329675292836,0.22
0.09973933696746826,0.031544665679422615,0.19898779953227325,0.3480693331540908,4.892749694476111,0.16
0.09925363540649414,0.03211797662044585,0.13475183078220912,0.18666111880646066,5.617190173881354,0.2
0.10235866069793702,0.029833734876255607,0.14308319553252188,0.1997842863744209,5.6191098908645385,0.14
0.10615283966064454,0.028495999066969955,0.1314944839477539,0.18923054649802631,6.3826695173654615,0.04
0.09998013496398926,0.022288721934174482,0.14399807541458695,0.20121828422443253,4.377222891988739,0.04
0.10058845043182373,0.02377034164707186,0.12169537720856843,0.148604330291708,4.521949833842787,0.04
0.10394471168518066,0.044991172373460585,0.1548271637696486,0.19767840972568285,2.3495486448702763,0.0
0.10348054409027099,0.04619910969505222,0.1480343606736925,0.19147010841908751,2.3577983824651696,0.0
0.10479122161865234,0.04553900417187984,0.21338453600483556,0.3822441691215242,2.254886423947296,0.0
0.12681083679199218,0.1102477580538687,0.22910253490720475,0.3949121207454496,2.3069275930574586,0.02
0.1264557981491089,0.10961640590851107,0.2494088093439738,0.3945590324313508,2.1996590135828593,0.02
0.12609204769134522,0.10273808493647492,0.2222960995089623,0.37757941695426717,3.021264167524202,0.02
0.12644268035888673,0.10243835039917082,0.21928255788741574,0.37886622681693005,3.0009403839073623,0.02
0.12490199565887451,0.10399095827269293,0.14081145101977932,0.15839586587912632,3.5541419106509085,0.02
0.10142026424407959,0.028277631913316597,0.13853212325803696,0.16096187037135112,3.875591765698077,0.02
0.10156376838684082,0.029272002059912802,0.12612219899892807,0.12310990452667585,4.083654442645326,0.02
0.09756545543670654,0.028532883234750905,0.11266782789519339,0.12262374506717427,6.013751020822617,0.02
0.1042015027999878,0.05967071994246436,0.15975212423424973,0.24355218831729858,4.508571835692462,0.06
0.10519145011901855,0.0583081743218081,0.1443624129662147,0.2398697519759008,4.722651591307888,0.12
0.11041643619537353,0.056476316680860984,0.13974593325359067,0.22991813944769812,4.549861577728599,0.12
0.1093970251083374,0.057245299704122794,0.14053913442099966,0.24294306837968566,4.608551991114951,0.12
0.11346073627471924,0.05872944074758083,0.15122983262345596,0.2532752938506153,4.589569170922799,0.12
0.10527843475341797,0.029853881256656115,0.16925048183750463,0.3198673445600727,4.4930129820881675,0.12
0.10446334838867187,0.02936531183860643,0.17352160045078824,0.32845066715610116,4.554495156362056,0.06
0.10214443206787109,0.02912726642749882,0.17284318895050974,0.3369746220761922,4.781391561795269,0.08
0.1000227975845337,0.03074679233108048,0.15918886276983446,0.33014289037621647,5.311378726889199,0.08
0.09473814010620117,0.02693776080275932,0.16059912334788928,0.3194465127608138,3.7466533350024416,0.14
0.09893712997436524,0.04478004078649442,0.12395798076282848,0.1351058905819844,4.240264481126802,0.14
0.09836790084838867,0.04469179175314003,0.16458884152499112,0.1689711136894491,3.647805660392652,0.16
0.09722267627716065,0.044873132124044375,0.1850271869350124,0.21733199402611283,3.3238635183935488,0.12
0.09943872451782226,0.04282312809801592,0.18473734726776947,0.21878961043644599,3.295641905696534,0.12
0.09900185108184814,0.042624618851127616,0.17531361946692833,0.2160419904010939,4.376046826024745,0.1
0.09690880298614502,0.022531444773578643,0.15435291081666946,0.21076537836850998,5.4000872036710925,0.06
0.09583929061889648,0.022198059138362355,0.2232478748668324,0.36438035509968286,4.98836121518899,0.04
0.09826895713806152,0.04132706766821221,0.2515581521120938,0.3853412295527763,3.9616993963635143,0.1
0.0991480827331543,0.041826416416056306,0.24261204401652017,0.3695348263252544,3.831581442144016,0.1
0.10261491298675537,0.049132978893699185,0.2699529434505262,0.36948748082713706,3.3573088968416815,0.06
0.1025023365020752,0.04898118793308088,0.26384986319193027,0.3581054414449443,3.21921350167694,0.06
0.10798839092254639,0.06775515908257577,0.19115762012760815,0.2393132565284158,3.8455270767371292,0.12
0.12833874225616454,0.17453678979909473,0.18091563689403045,0.2277773546152059,4.087389100575091,0.06
0.12611515045166016,0.175193727357831,0.17981792123694168,0.23044677768198854,4.275441097927089,0.12
0.12886986255645752,0.17301239770832835,0.15671907049236874,0.21275523442613167,4.945161847047491,0.14
0.13107836723327637,0.17411623468490356,0.16259957949320475,0.2215083798198758,5.336663454976266,0.14
0.12515708923339844,0.16884082813077544,0.15779247454234532,0.22632158254869006,5.62092696599851,0.16
0.10068130016326904,0.036927340687454784,0.10512737433115642,0.0916031618618011,6.698353084749712,0.18
0.10073718547821045,0.0360194479794197,0.10678562947681972,0.09773008688306657,7.0246645664319125,0.14
0.09317790508270264,0.03436754674854591,0.10636000335216522,0.09666236255389858,6.799291991144248,0.3
0.09297435760498046,0.026058508273280552,0.09562627928597586,0.08346254394613792,6.757316407563148,0.3
0.09216911792755127,0.02540392091507154,0.0848083312694843,0.0732402905619324,6.570814919074075,0.32
0.09565226554870605,0.0293141191825645,0.08832477120792165,0.0722322249275866,7.002593142430502,0.34
0.09835009574890137,0.029254217934713875,0.09831747141751376,0.09326723774171697,6.644833775387121,0.32
0.1109576940536499,0.07159084422704041,0.09700364451254567,0.09348645153731265,6.2569693991927755,0.14
0.11174472332000733,0.07212189828008077,0.10424199411945959,0.09361420617099954,6.014344649280285,0.14
0.12151018619537353,0.07070417152777961,0.12729320159325233,0.14753031482154333,5.827316747644845,0.04
0.11602824687957763,0.0716186186603138,0.16047772339412145,0.2481840484301715,5.230140032647974,0.06
0.11358016967773438,0.0718601636483622,0.1567493756612142,0.2504856807963406,5.190670163230165,0.06
0.10324014663696289,0.029870238649642798,0.18878120760763845,0.2573251272386695,4.8755438499321055,0.08
0.10204448699951171,0.02857296077444876,0.18507301807403564,0.25939664070294555,1.7831402525984983,0.08
0.0939007568359375,0.025939322231974767,0.17068771053762996,0.23362259860681184,1.8083325095683778,0.08
0.09694953441619873,0.02724500433533483,0.12537206830205144,0.14583736665942018,1.874277534912927,0.1
0.0993036127090454,0.03004749106676558,0.11356301307678222,0.12421230012077517,1.931655377940267,0.1
0.0983817195892334,0.031692556727251533,0.08746047701154436,0.09089915024020337,1.9946394407432577,0.14
0.09706401824951172,0.03255028506133077,0.0914487194370579,0.09089729794919263,6.474770478767318,0.16
0.10106786251068116,0.034032021171658655,0.08762664113725935,0.09330182271501995,6.531021035713096,0.16
0.10144633769989014,0.031097424093379254,0.09790449431448271,0.09676873653141102,6.687184663662976,0.12
0.09854565620422363,0.028195849277407436,0.1005460313848547,0.08927608506348296,6.256222207770279,0.16
0.10310948848724365,0.02770686453387771,0.10471939359392439,0.12074369088136164,6.545180443506983,0.1
0.10993858814239502,0.072019776325751,0.16997150693620955,0.3367434671862101,4.595503898170839,0.08
0.1064803409576416,0.07106346592896656,0.17879431064312273,0.3247966086831002,4.202847716952931,0.1
0.1074050235748291,0.07159157769321099,0.17206552552013862,0.31941574068787487,4.119708034645864,0.1
0.10810101509094239,0.07160610052506745,0.18360899686813353,0.33014647709461153,4.017679497129502,0.1
0.10956387042999267,0.07257159122612541,0.2091425836086273,0.3896608681021662,3.7276420565501502,0.12
0.098635573387146,0.027618689456535856,0.15555113554000854,0.26966459452892677,4.640510423574651,0.2
0.10126938819885253,0.028773703716361863,0.1627353098657396,0.29778546904809394,3.491001932995965,0.18
0.09987674713134766,0.02821843370124367,0.16653089265565615,0.29511399457469684,3.2533057947073933,0.14
0.10119834899902344,0.027804302630383637,0.16893612711053146,0.2919853019685889,3.1805394334721764,0.12
0.09733440399169922,0.023893884760255012,0.13616012202368843,0.178885914712009,3.54673963840659,0.12
0.09868036270141602,0.025079453370827374,0.16164350509643555,0.23446978829374218,3.612523928006531,0.04
0.09409074306488037,0.023873109210504097,0.14963777860005698,0.1998046016446976,4.881097563601131,0.04
0.09480690956115723,0.027830841731126963,0.14829193844514735,0.20695145412246335,5.295006024936737,0.04
0.09181979179382324,0.027611162468525633,0.1471038215300616,0.20247068247899058,5.719525836855709,0.02
0.10660063743591308,0.11151876573707893,0.13384358699505144,0.19288002385741776,4.902411332337914,0.02
0.10753830909729004,0.11175225236223763,0.15190484021839343,0.28290236903862487,4.611122752295555,0.02
0.1141890525817871,0.11123420147545955,0.14730735506330217,0.2897971245174543,4.7248562143690105,0.02
0.11044764995574952,0.11131467119781271,0.1390107289338723,0.27535186414790686,4.70749801595697,0.08
0.11118344783782959,0.11139468637483395,0.13624883309388772,0.28004422263860046,4.76265322192394,0.08
0.09500887393951415,0.029662432388479057,0.15572119440351215,0.2985656894588427,5.048131419261725,0.06
0.09392419338226318,0.031392654854895265,0.11808668545314244,0.1454228532892965,5.881755058054913,0.08
0.09153611660003662,0.03292753101192171,0.11804520062037877,0.15123073633193365,5.957511674612423,0.14
0.09673580169677734,0.0315242106958089,0.12955265492200851,0.15710766845529459,5.896738524525885,0.08
0.09579302310943603,0.03288515150339027,0.12244748300121676,0.14252162442487984,6.153504159285393,0.12
0.0994173240661621,0.03386328693624492,0.1662964170629328,0.3251379691628618,2.638012090880364,0.12
0.10320977687835693,0.029865072908222365,0.1584207500730242,0.3438477434964243,2.756720003864649,0.1
0.10529208660125733,0.0301753158649548,0.15744130699722855,0.3480812964611945,2.7789149994031797,0.08
0.10822284698486329,0.034374440579888484,0.17652916056769236,0.3542262225394185,2.6626268095202286,0.08
0.11586678504943848,0.06100037790080188,0.18840239666126393,0.3613659049677316,2.064261969540966,0.06
0.11613799095153808,0.06061170461692763,0.1299843192100525,0.16091264534181646,3.6111400538132794,0.08
0.11430775642395019,0.062165534267054234,0.12211929668079723,0.15013205774858393,3.5291413841029744,0.1
0.10960804939270019,0.06140099089029619,0.14433632294336954,0.15685144500512446,3.303590414850631,0.12
0.10455671787261962,0.06326483707507354,0.13268218437830606,0.13634157928420362,3.4240902935578066,0.16
0.09469357490539551,0.03441922719153879,0.12363746227362217,0.12521804030188793,4.0227796743234805,0.24
0.10234264373779296,0.10253868057477716,0.1387321760779933,0.12868671229521986,3.8628317783722665,0.28
0.106291184425354,0.10239867906585923,0.14259094313571327,0.13722071963508173,3.745402726359118,0.26
0.10801233768463135,0.10318692264653748,0.13138911530778213,0.1439009027072054,3.89712339921974,0.2
0.10728336811065674,0.10165285793515118,0.13186167308262417,0.14393542388207156,4.021900104009499,0.18
0.1115627384185791,0.10098872103926972,0.12523384527726608,0.13936507054272085,5.602555370847591,0.08
0.09849287033081054,0.032047133372851096,0.12235111348769244,0.14078128402391218,6.254134639164823,0.06
0.08977118968963622,0.028698837442521233,0.1339970032374064,0.14294786069188864,5.712321120202768,0.14
0.08918585300445557,0.026004524093633893,0.12835825456155314,0.1351394927329001,5.729689143588854,0.18
0.0895077657699585,0.025555027633891926,0.12221985114248175,0.13580206186396787,5.692073232049277,0.16
0.0883664321899414,0.02676648938480475,0.12635038495063783,0.13604848123814992,5.622921452864029,0.16
0.0869444990158081,0.02689855009409727,0.13422010058448428,0.14220174898596658,5.173130934269787,0.24
0.08914070606231689,0.02700278173005519,0.18278711016585186,0.27185035660933565,4.287473105825056,0.26
0.09688949108123779,0.0765841639961442,0.22206843771585605,0.29475048050862573,0.003702303930171148,0.24
0.09931622505187988,0.07565391855054564,0.22629315512520926,0.2926067753266398,0.0037019987951369686,0.28
0.1048906946182251,0.07625993554785372,0.24421280308773644,0.30213685629573056,0.0037020162862895097,0.28
0.10798701286315918,0.07561863572411381,0.22123199540215568,0.3027633378628907,0.0037023037838947383,0.16
0.10862818241119385,0.07593355002600435,0.1611056456694732,0.18543857442828188,0.003675086789089076,0.06
0.1002375078201294,0.02682991456177238,0.11488969905956371,0.10389093633346935,0.44966292658921964,0.16
0.10692842960357667,0.031619064314351866,0.10004940548458614,0.08512259101336085,0.45112033692292974,0.12
0.10290087223052978,0.028170019716432668,0.09462907910346985,0.07375706059318309,0.4515503912939919,0.16
0.10077139377593994,0.029523243725119025,0.10909268794915615,0.11084336539806931,0.44969278248800815,0.18
0.10617552757263184,0.034378546384245444,0.09567688640795256,0.10579777566273646,5.8702178546712185,0.18
0.10548487186431885,0.03582708923495436,0.09271590369088309,0.10629682370773888,6.183683547616692,0.06
0.10057205200195313,0.032516611290063224,0.09147062301635742,0.10778331537968867,6.516559468694971,0.06
0.10139922618865967,0.03256264830973751,0.09416903871478456,0.1317424597863813,6.495879442242328,0.02
0.11726812362670898,0.06857721918109516,0.07497795422871907,0.10034082317129973,0.3387557034725732,0.0
0.1120900297164917,0.06715695673798268,0.09164933363596599,0.10398074305390397,0.3381817425959732,0.06
0.112705078125,0.06662012205052824,0.10105917670510033,0.11968097404637276,0.33676516106188153,0.1
0.11113495349884034,0.0675846201300744,0.11399094986193108,0.12580948751758456,0.3365069490074866,0.16
0.11229532241821288,0.06997749795398675,0.11052466183900833,0.11228127336409705,0.23180599822956824,0.2
0.0985681438446045,0.031314527505191043,0.10420619740205653,0.10319723853140553,0.6644163562115573,0.26
0.09871227264404298,0.03242165467531013,0.10295792988368443,0.10846325345542936,0.6645625212053597,0.22
0.09741570949554443,0.03158664638745954,0.12037778562969631,0.13845060363068992,0.658543220946565,0.24
